Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you Facebook user?,From which country do you participate in the survey?,,What is your age?,What is your gender?,What is your education level?,Please select your Facebook usage type:,How often do you use Facebook?,Do you know/aware of the privacy policy rules of Facebook?,Have you configured the privacy setting of your profile?,"Do you know that you can control the visibility of your posts with some privacy settings? (restricting the visibility of your post to only all/some of your friends, friends and friends of friends, or public)?",What is your general preference for the visibility of your posts?,"Suppose that you have commented on a post that was created by your best friend and that this post is only shared by your best friends' friends. You trust that your friend will not make your comment visible to others than the selected group of people. However, after few days your best friend changes the privacy setting of this post to public. As a result of Facebook Privacy Policy (stating that privacy of interactions on a post only depends on the privacy setting of that particular post, controlled tuned only by the post owner), your comment became visible to public, without getting your approval. What is your opinion about this policy?","Suppose that you see a public post in Facebook, and comment on it, by being aware that your comment will be visible to everyone. After a while, suppose that the post owner changed the visibility of that post to friends only, and you're not among his/her list of friends on Facebook. As a result of the Facebook Privacy Policy as described previously, you cannot see the post. You cannot even have access to your own comment or see it in your own action logs. What is your opinion about this policy?",Were you aware of above described privacy related issues?,Do you think that our solution is clearly understood through the mockup?,Do you think that this solution is useful to improve the privacy awareness of Facebook members?,"Do you think that this solution can be implemented in real world? If so, by whom?",Do you think that this problem should be solved by Facebook through policy regulations and service refinements?,"Do you have any other comments, questions, or concerns?"
10467089020,223929250,01/15/2019 02:58:06 PM,01/15/2019 03:05:04 PM,146.48.96.66,,,,,Yes,Italy,,25-34,Male,Doctorate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467080418,223929250,01/15/2019 02:56:01 PM,01/15/2019 02:59:03 PM,151.15.182.72,,,,,Yes,Italy,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Public,Strongly disagree,Strongly agree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467073252,223929250,01/15/2019 02:48:06 PM,01/15/2019 02:54:02 PM,46.154.7.173,,,,,Yes,Turkey,,25-34,Male,University graduate,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,No,Yes,Yes,Only my friends,Neutral,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467072350,223929250,01/15/2019 02:49:01 PM,01/15/2019 02:53:23 PM,146.48.99.74,,,,,Yes,Turkey,,25-34,Male,Postgraduate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,No,,Yes,Public,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467063674,223929250,01/15/2019 02:42:41 PM,01/15/2019 02:46:57 PM,193.205.210.33,,,,,Yes,Italy,,25-34,Female,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only with selected friend(s),Strongly disagree,Probably disagree,No,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",No
10467060582,223929250,01/15/2019 02:39:47 PM,01/15/2019 02:44:32 PM,151.62.37.116,,,,,Yes,Italy,,25-34,Female,Postgraduate degree,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,No,Yes,No,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",No
10467048627,223929250,01/15/2019 02:29:45 PM,01/15/2019 02:35:37 PM,2.86.168.71,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,I am following continuously,Yes,Yes,Yes,Only my friends,Strongly disagree,Neutral,Yes,No,No,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10467047244,223929250,01/15/2019 02:20:31 PM,01/15/2019 02:34:32 PM,195.251.81.249,,,,,Yes,Greece,,15-24,Male,High School,I mostly prefer to like posts in my News Feed,I am following continuously,No,No,Yes,Default Setting,Neutral,Neutral,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467045818,223929250,01/15/2019 02:29:35 PM,01/15/2019 02:33:30 PM,178.241.143.178,,,,,Yes,Turkey,,35-44,Female,University graduate,I mostly prefer to like posts in my News Feed,I am following continuously,No,Yes,Yes,Only with selected friend(s),Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467038792,223929250,01/15/2019 02:06:10 PM,01/15/2019 02:28:17 PM,193.140.250.85,,,,,Yes,Turkey,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,No,"no, it’s inapplicable","No, this would be too complicated",this idea is good but it has a problem according to usability. Everyone want to be fast but this application is an layer between user - security label - facebook. 
10467028584,223929250,01/15/2019 02:15:22 PM,01/15/2019 02:20:38 PM,193.205.210.74,,,,,Yes,Italy,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,No,Yes,Public,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467023315,223929250,01/15/2019 02:15:06 PM,01/15/2019 02:16:44 PM,193.140.250.85,,,,,Yes,Greece,,15-24,Female,University graduate,I generally write comments to posts in my News Feed,When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Default Setting,Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467018206,223929250,01/15/2019 02:10:22 PM,01/15/2019 02:12:57 PM,94.65.111.194,,,,,Yes,Greece,,25-34,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,No,Yes,Yes,Only my friends,Neutral,Neutral,Yes,No,No,"no, it’s inapplicable","No, this would be too complicated",
10467002233,223929250,01/15/2019 01:57:44 PM,01/15/2019 02:00:42 PM,46.177.53.21,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,No,Yes,Yes,Friends of Friends,Probably disagree,Probably disagree,No,No,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10467001787,223929250,01/15/2019 01:56:16 PM,01/15/2019 02:00:19 PM,193.140.250.85,,,,,Yes,Turkey,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10466996429,223929250,01/15/2019 01:48:24 PM,01/15/2019 01:55:57 PM,37.160.77.100,,,,,Yes,Italy,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10466992227,223929250,01/15/2019 01:50:08 PM,01/15/2019 01:52:35 PM,193.205.210.74,,,,,Yes,Italy,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Probably disagree,Strongly agree,Yes,Yes,Yes,by any trustable third party,"No, this would be too complicated",
10466985582,223929250,01/15/2019 01:38:15 PM,01/15/2019 01:47:08 PM,193.205.210.72,,,,,Yes,Other (please specify),india,25-34,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly agree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10466951898,223929250,01/15/2019 01:02:07 PM,01/15/2019 01:19:09 PM,193.140.250.121,,,,,Yes,Turkey,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10466866606,223929250,01/15/2019 12:01:18 PM,01/15/2019 12:11:04 PM,212.253.131.240,,,,,Yes,Turkey,,25-34,Female,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,No,Yes,Yes,Only my friends,Probably agree,Neutral,Yes,,,,,
10466856974,223929250,01/15/2019 12:02:02 PM,01/15/2019 12:03:49 PM,195.251.88.130,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,No,Yes,Yes,Only my friends,Probably agree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10466813525,223929250,01/15/2019 11:26:01 AM,01/15/2019 11:26:32 AM,37.154.180.122,,,,,Yes,Turkey,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,No,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10466697966,223929250,01/15/2019 09:27:06 AM,01/15/2019 09:30:26 AM,212.253.131.240,,,,,Yes,Turkey,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,I am following continuously,No,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,No,No,by Facebook,"Yes, certainly this is more practical and faster solution",
10466690082,223929250,01/15/2019 09:15:29 AM,01/15/2019 09:21:19 AM,151.135.195.2,,,,,Yes,Turkey,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Probably agree,Probably agree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10466595933,223929250,01/15/2019 07:40:10 AM,01/15/2019 07:42:26 AM,176.54.221.152,,,,,Yes,Turkey,,25-34,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",No
10465987794,223929250,01/15/2019 12:56:19 AM,01/15/2019 12:59:02 AM,193.140.250.85,,,,,Yes,Turkey,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Default Setting,Probably disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"No, this would be too complicated",
10465709676,223929250,01/14/2019 10:57:36 PM,01/14/2019 11:03:28 PM,185.135.108.75,,,,,Yes,Turkey,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,No,Only my friends,Probably agree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10465686271,223929250,01/14/2019 10:47:13 PM,01/14/2019 10:54:02 PM,176.88.30.38,,,,,Yes,Turkey,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,No,Yes,Only my friends,Neutral,Probably disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10465350718,223929250,01/14/2019 08:40:31 PM,01/14/2019 08:44:52 PM,193.140.250.85,,,,,Yes,Turkey,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only with selected friend(s),Neutral,Strongly disagree,Yes,Yes,No,by Facebook,"No, this would be too complicated",
10465221960,223929250,01/14/2019 07:45:45 PM,01/14/2019 07:55:50 PM,81.213.41.132,,,,,Yes,Turkey,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Strongly disagree,Probably agree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10465195877,223929250,01/14/2019 07:40:32 PM,01/14/2019 07:46:01 PM,195.175.64.178,,,,,Yes,Turkey,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,No,Yes,No,Default Setting,Neutral,Neutral,No,No,No,by any trustable third party,"Yes, certainly this is more practical and faster solution",no  
10465004837,223929250,01/14/2019 06:32:18 PM,01/14/2019 06:35:00 PM,81.213.40.131,,,,,No,Turkey,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464809297,223929250,01/14/2019 05:14:19 PM,01/14/2019 05:17:18 PM,88.230.152.192,,,,,Yes,Turkey,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Probably disagree,Strongly agree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10464793216,223929250,01/14/2019 05:05:58 PM,01/14/2019 05:10:13 PM,85.105.143.124,,,,,Yes,Turkey,,25-34,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,No,Yes,Friends of Friends,Strongly disagree,Strongly disagree,No,No,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10464700730,223929250,01/14/2019 04:22:56 PM,01/14/2019 04:24:38 PM,176.40.130.182,,,,,No,,,,,,,,,,,,,,,,,,,
10464672159,223929250,01/14/2019 04:02:47 PM,01/14/2019 04:08:36 PM,193.140.250.85,,,,,Yes,Turkey,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,No,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464638018,223929250,01/14/2019 03:43:24 PM,01/14/2019 03:46:36 PM,88.230.167.222,,,,,No,Turkey,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Strongly disagree,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464612829,223929250,01/14/2019 03:25:58 PM,01/14/2019 03:29:21 PM,193.140.250.85,,,,,Yes,Turkey,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464574267,223929250,01/14/2019 02:57:46 PM,01/14/2019 03:00:58 PM,176.88.43.160,,,,,No,Turkey,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,No,No,Friends of Friends,Neutral,Strongly agree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10464568662,223929250,01/14/2019 02:50:22 PM,01/14/2019 02:56:37 PM,141.113.3.31,,,,,Yes,Other (please specify),Germany,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10464565578,223929250,01/14/2019 02:49:26 PM,01/14/2019 02:54:14 PM,176.88.30.138,,,,,Yes,Turkey,,25-34,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464417585,223929250,01/14/2019 12:44:53 PM,01/14/2019 12:47:24 PM,195.251.89.74,,,,,Yes,Greece,,25-34,Female,Postgraduate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10464406778,223929250,01/14/2019 12:29:35 PM,01/14/2019 12:37:23 PM,5.144.199.5,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464392308,223929250,01/14/2019 12:08:16 PM,01/14/2019 12:24:19 PM,194.0.130.10,,,,,Yes,Turkey,,45-54,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,Yes,Yes,Yes,Only with selected friend(s),,Strongly agree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464391171,223929250,01/14/2019 12:14:01 PM,01/14/2019 12:23:17 PM,195.251.89.176,,,,,Yes,Greece,,35-44,Male,Doctorate degree,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464373244,223929250,01/14/2019 09:32:34 AM,01/14/2019 12:07:35 PM,194.0.130.10,,,,,Yes,Turkey,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,No,No,by Facebook,"Yes, certainly this is more practical and faster solution",IE does not support mockup related connection - proto.io- that's why could not open it. Subject issue should be fixed for survey's efficiency. 
10464346734,223929250,01/14/2019 11:37:37 AM,01/14/2019 11:42:26 AM,194.0.130.10,,,,,Yes,Turkey,,35-44,Female,University graduate,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464322329,223929250,01/14/2019 11:06:31 AM,01/14/2019 11:16:50 AM,45.56.194.136,,,,,Yes,Turkey,,35-44,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,No,Yes,Default Setting,Strongly disagree,Probably agree,Yes,Yes,Yes,by Facebook,"No, this would be too complicated",
10464251353,223929250,01/14/2019 09:42:14 AM,01/14/2019 09:47:41 AM,194.0.130.10,,,,,Yes,Turkey,,35-44,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464242527,223929250,01/14/2019 09:30:37 AM,01/14/2019 09:35:24 AM,194.0.130.10,,,,,Yes,Turkey,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Friends of Friends,Strongly disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464242086,223929250,01/14/2019 09:30:16 AM,01/14/2019 09:34:47 AM,194.0.130.10,,,,,Yes,Turkey,,25-34,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464241447,223929250,01/14/2019 09:30:47 AM,01/14/2019 09:33:52 AM,194.0.130.10,,,,,Yes,Turkey,,25-34,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Strongly disagree,Probably agree,Yes,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464240595,223929250,01/14/2019 09:30:02 AM,01/14/2019 09:32:42 AM,194.0.130.10,,,,,Yes,Turkey,,25-34,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464238236,223929250,01/14/2019 09:25:03 AM,01/14/2019 09:29:17 AM,78.186.183.138,,,,,Yes,Turkey,,35-44,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,Yes,Yes,Yes,Public,Strongly agree,Strongly agree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",Congtratulations...
10464231481,223929250,01/14/2019 09:03:44 AM,01/14/2019 09:19:57 AM,194.0.130.10,,,,,Yes,Turkey,,45-54,Female,High School,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10464218769,223929250,01/14/2019 08:57:28 AM,01/14/2019 09:02:48 AM,155.223.24.118,,,,,Yes,Turkey,,45-54,Male,Doctorate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",Good luck.
10464117529,223929250,01/14/2019 06:32:28 AM,01/14/2019 06:40:24 AM,81.213.184.172,,,,,Yes,Turkey,,45-54,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",Regularly I check it weekly,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10463910723,223929250,01/14/2019 02:24:12 AM,01/14/2019 02:25:18 AM,80.151.176.191,,,,,Yes,Turkey,,45-54,Female,University graduate,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Neutral,No,,,,,
10463836032,223929250,01/14/2019 12:34:12 AM,01/14/2019 12:42:35 AM,80.216.115.253,,,,,Yes,Other (please specify),Sweden,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,Yes,Yes,Only my friends,Neutral,Probably disagree,No,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10463774563,223929250,01/13/2019 11:16:07 PM,01/13/2019 11:23:57 PM,88.230.233.61,,,,,Yes,Turkey,,45-54,Female,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Public,Probably agree,Probably agree,,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10463756562,223929250,01/13/2019 10:55:40 PM,01/13/2019 11:00:54 PM,149.140.208.160,,,,,Yes,Turkey,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,No,Yes,Yes,by any trustable third party,"No, this would be too complicated",
10463754238,223929250,01/13/2019 10:53:11 PM,01/13/2019 10:57:58 PM,62.216.203.228,,,,,Yes,Other (please specify),Germany,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Neutral,Strongly disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10463741723,223929250,01/13/2019 10:38:44 PM,01/13/2019 10:41:55 PM,176.54.218.145,,,,,Yes,Turkey,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10463735016,223929250,01/13/2019 10:24:43 PM,01/13/2019 10:33:12 PM,31.145.148.98,,,,,Yes,Turkey,,35-44,Female,Postgraduate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only with selected friend(s),Neutral,Strongly disagree,No,,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10463732503,223929250,01/13/2019 10:26:19 PM,01/13/2019 10:30:02 PM,195.174.213.70,,,,,Yes,Turkey,,35-44,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,No,Yes,Only my friends,Probably disagree,Neutral,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10463684748,223929250,01/13/2019 09:27:10 PM,01/13/2019 09:29:10 PM,176.88.30.138,,,,,Yes,Turkey,,45-54,Female,Doctorate degree,I generally write comments to posts in my News Feed,I am following continuously,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",Thank you.
